statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.0693515219185663,0.09636588422930381,0.054995729441817076,0.0972158790740637,0.22930000169513542,0.17655092336858935,0.15111638108442105,0.048874194940891735,0.07859866537305482,0.11088530944566055,0.07964455722642738,0.18657415920263043,0.08278627315820486,0.1701288494467822,0.2889349931262646,0.07145264600609802,0.06766855260935889,0.2931573492276581,0.12048043239774531,0.04949459598568684,0.1767915371760289,0.1176695822950169,0.130493999441896,0.053690687010724325,0.1624081853281666,0.22371950032513555,0.09441104544367429,0.14894765143250277,0.16680969221176956,0.21800295700334216,0.3091669265113076,0.1301291822671633,0.1814069006731619,0.1731100386623008,0.15783973944822483,0.08084443775270989,0.10145190758809375,0.11159710225837982,0.09710789804817388,0.2729935902134446,0.06666345291813469,0.42042814740972867,0.39081995273106396,0.170441285340595,0.12049417265028484,0.1884022823407563,0.146211455994551,0.10710586972353531,0.11469431281914677,0.13926973046430013,0.12218925838819383,0.20216850689962618,0.2909787511939811,0.0921206561939093,0.08467892673909594,0.5129782590482462,0.10999982816419052,0.15974595782983814,0.08116185438594159,0.10898372976959658,0.1061196824468209,0.17911131904471,0.15282802253203587,0.1379719369071587,0.20972078259432725,0.4837149917571474,0.2310115330872018,0.137846843174372,0.072198942634363,0.0751514274305124,0.12831907039102408,0.03181199024296011,0.06620442274821436,0.08390411093712924,0.11601873404528662,0.14759313783308414,0.054806502204003626,0.08447444696034367,0.1073712204575763,0.21312512601301015,0.11951890982734659,0.05193499291681103,0.18850604379325742,0.2901463900957578,0.22680882323767793,0.15011092801837378,0.1727390400754648,0.17287758418082333,0.2078387613847218,0.24567328368512664,0.22837144150853472,0.12581019311025432,0.12927420385554056,0.36851555543464776,0.40540319721704465,0.10606745593110078,0.07810479034934514,0.20145213066036194,0.06318592887624397,0.11814272436957995,0.18906093455878814,0.25679675032953686,0.13783917488003838,0.17001349692373913,0.10018448988620887,0.1950378668068291,0.19728381734376854,0.35620684233227884,0.16181096409169782,0.2714483074076236,0.29829180233549246,0.16429416148933007,0.09639500528556444,0.11169924644459217,0.18753214666727958,0.3944878939419101,0.2022651913944835,0.17797638733744758,0.09733353681548151,0.08855175336792531,0.20786835115737978,0.2269736401234882,0.06408179519100843,0.2266635521105267
MACE,0.011387900355871866,0.013641755634638191,0.006405693950177922,0.017390272835112693,0.022419928825622777,0.00884934756820881,0.013238434163701074,0.010913404507710554,0.013357058125741417,0.004341637010676168,0.02075919335705811,0.008612099644128113,0.015017793594306059,0.006002372479240814,0.005409252669039163,0.009442467378410462,0.006951364175563473,0.006002372479240807,0.013048635824436536,0.01240806642941876,0.005527876631079505,0.008778173190984586,0.01644128113879004,0.01940688018979836,0.006880189798339262,0.008137603795966803,0.009086595492289459,0.011696322657176786,0.009798339264531448,0.011577698695136435,0.009561091340450792,0.009086595492289459,0.006476868327402146,0.01850533807829182,0.013950177935943072,0.015776986951364168,0.018979833926453145,0.012170818505338094,0.006714116251482802,0.007425860023724797,0.012763938315539755,0.006120996441281165,0.01264531435349942,0.014187425860023736,0.015492289442467406,0.011459074733096106,0.010865954922894442,0.013641755634638205,0.017983392645314362,0.013594306049822072,0.011981020166073547,0.012099644128113865,0.008137603795966808,0.008256227758007145,0.01003558718861211,0.02735468564650061,0.008137603795966786,0.014899169632265724,0.010035587188612114,0.012574139976275206,0.013404507710557529,0.015373665480427057,0.007544483985765148,0.0176749703440095,0.013594306049822074,0.015065243179122167,0.019691577698695138,0.009916963226571771,0.016915776986951365,0.012408066429418763,0.010154211150652454,0.01015421115065245,0.010035587188612118,0.00996441281138791,0.010510083036773433,0.015776986951364168,0.008967971530249134,0.012289442467378413,0.0074258600237248045,0.007425860023724813,0.015255041518386738,0.01311981020166074,0.008967971530249131,0.015492289442467392,0.007900355871886134,0.011150652431791221,0.01395017793594307,0.015539739027283502,0.02023724792408068,0.013831553973902738,0.010510083036773445,0.01293001186239622,0.012882562277580088,0.01928825622775803,0.008612099644128143,0.010984578884934777,0.01525504151838673,0.02004744958481613,0.019335705812574145,0.009323843416370143,0.008374851720047469,0.00908659549228947,0.007425860023724825,0.01881376037959668,0.014780545670225406,0.011696322657176765,0.01383155397390275,0.016963226571767506,0.014780545670225392,0.016132858837485154,0.026642941874258606,0.011933570581257425,0.0166785290628707,0.012882562277580079,0.0166785290628707,0.029893238434163704,0.012645314353499438,0.010438908659549226,0.01466192170818507,0.009489916963226578,0.010913404507710557,0.010438908659549223,0.013119810201660767,0.012455516014234877
MAPE,1.1887609668864685,3.880704238248832,172.04469504079208,1.7828413622918444,0.12242527076882034,0.35481837139623745,0.15212436346928235,1.90199150595994,3.1788906798780023,1.7505878365138816,3.6356858727508694,2.0209067124606808,0.08128923416243383,0.07627254972676833,0.561427133701228,6.901048816786083,0.0879666132725836,0.10517338426850409,0.4511150815095396,5.459042820544576,0.0819347362242641,0.1265957916658792,0.5803521654323529,3.2129245750482376,0.07223332145630698,0.14578608822310413,0.4091063589965869,0.12726250478529005,0.12411231527328413,3.087247113057743,0.05100403718936959,0.3189087726214977,0.10439772668038495,0.1839050774367377,1.622486250412674,0.27626388340948244,2.496752157594274,1.3241282238887426,0.1011261851259214,0.1272905604423667,4.561665717616938,0.0976263539160068,4.097762095694534,0.23198351465892658,1.642430724640796,0.18384812428250397,1.3405491043041649,1.336082918163386,2.4810869324365807,0.1395643778411492,0.1543611559526024,3.625859079705188,1.0555809779115377,1.0521247137557694,0.12689160035525243,0.10620582836373474,0.4586164050593102,4.0262555001210405,0.24343486533235814,1.4880355662402123,0.17945094761997238,0.21973785559716227,0.1591255264862984,1.83599106475042,0.1002649028543099,2.4759764088979144,1.321127997026419,0.7422959360316301,0.1477041837591083,3.5679373828163143,4.238253750690714,1.706221499197615,4.4818552224607044,0.12221880688847139,0.26000730844900094,1.155373104908009,4.867256386525786,2.117460270146795,0.2211485915563595,0.5720434577251438,3.7633206926350833,0.6964384079460049,0.509807269343954,1.1631585917708267,0.688334141346769,5.218143341913261,1.8368934846878862,0.07475567297324809,0.12264737946357672,13.992095422736474,0.2557276118018954,0.7623013577476974,5.560845204180617,0.06309957572014971,0.05846276497156251,2.000750209234902,0.06100410526226989,1.025620769022982,1.7073103648066825,0.7100993886110777,0.2113718204238015,0.19025405965217962,0.5147702890371659,0.10914555742233133,0.4575400489059461,0.7047491536368722,0.10483366660466606,0.07429978770125606,0.1046975173775023,0.06450511786040368,1.6837200081369612,0.7725449005268393,0.17134488932058597,0.18899566278523278,0.22268905898977082,1.9296056681479308,2.135932856343251,1.3282274046319809,2.598977142714033,3.2593612341647304,2.150064458403623,2.0754375859712066,2.4395831886120067,1.191406778032397
MSLL,0.24548217858207289,0.9862296333037601,0.3068812471842395,0.25667523874904163,-0.3960160476821615,-0.1841025277126771,-0.05783530358957978,0.038807670995739674,0.5174403055902644,0.14238660893410593,-0.04291500694180228,0.07447332522994765,0.27046057921169964,0.3939931530102937,-0.0424457024135656,0.3415505144421882,0.14695512686414514,-0.48026016355178536,-0.2960961443352621,-0.0943166202726422,0.39530877107565476,-0.023244282269914596,-0.014834300074812568,0.055550785932182434,0.27180957815489326,0.10623554136622726,-0.17597568992840285,-0.016784878962575744,-0.08576033490590818,0.12535398490671357,-0.0717119378188058,-0.5705323328211338,-0.10820082576805956,-0.5467717026651626,-0.22201983607556097,0.2882494340282673,-0.09319057196772063,0.2329711604235869,0.4771820283840621,0.25155394720749724,0.21331736763725928,0.3770856550320625,-0.2537869264465684,0.25665885529113397,-0.48785083211031854,0.4416946598977084,0.09667162400746676,0.04894493340385275,0.06216930778431573,0.023977088290867643,0.22390592385403751,-0.37459178144901806,-0.06845028959543087,-0.21425887534493437,0.135174736023155,-0.396114730375288,0.07508009297531992,0.4611757566037833,0.14533078481719808,-0.2310747639345121,0.31257361394217786,0.27269692240826804,0.3146254937508872,0.2642500454661312,0.49305158231398893,0.31558024417308084,0.43544923504724586,-0.3194827280952641,0.20260997637188183,-0.2887470395258507,-0.39402578880092176,0.09070845314252107,-0.20457244198492353,0.18031910265700712,0.23661936266256944,0.3155201509233274,0.1587095529019278,-0.501668734197031,0.1829920286951947,-0.006337960321406211,-0.2428449870521323,-0.09387858862384313,-0.09224346600517808,0.042217543262600854,0.09848969810713681,0.29223170830020595,-0.2699028325515964,0.12978986837137874,-0.19601161098034425,0.0024078531815545645,0.04489782123502062,-0.38386261429212976,-0.1826429293314391,-1.2339017981036542,-0.12436354765446622,-0.29091183075031135,0.5401816381367145,-0.17174567793757878,0.015220606035401207,0.09253989505326743,-0.07420530798792613,0.07755075718726867,-0.44492748220270384,0.26426487786816666,-0.09597450233211324,-0.15844358017882687,0.08955302784637276,-0.22767531751071202,0.010936765641535118,-0.10966641347001738,-0.2871175625761586,0.871697119533897,-0.010918625111186131,0.008275671999643075,-0.04550002960659305,0.14522949900072502,-0.2821124893381681,-0.05983172250950686,-0.10420003283192814,0.26858456023059185,0.07079500393844307,-0.07664758293832818,0.19371844044060427,0.4588924013041267
NLL,1.37842718395603,1.391055304347296,1.3948244380329728,1.3669179193915613,1.101529689428395,1.3082260336809504,1.1110952221055905,1.367695467473114,1.3835480695297648,1.3639916881148029,1.3760970727451918,1.3081427542669015,1.380432080932198,1.3063131442441014,1.2549439804638483,1.3522120460221954,1.3381169728557116,1.1669796804175505,1.360559016302263,1.3938901990134491,1.3210043826742193,1.1714811914861951,1.3507854523732703,1.4178440662811498,1.3200992961199574,1.300858253357743,1.1049301159909546,1.1787603985241475,1.158260196804347,1.1939528213767479,1.0601469710313545,1.1841509811335602,1.2069558047679392,1.1117157408876104,1.3514312503323396,1.4074717236671643,1.377891536373256,1.360577804241663,1.3197750895788625,1.277648492672882,1.338109314272748,1.1238811044539614,1.0655704030438582,1.3363716840263737,1.1984650852867083,1.2897266779066021,1.3567081873014126,1.344849492387805,1.3702359729400195,1.2282324844550352,1.3210533007737049,1.3045842183543848,1.2202819209093523,1.3413243833830701,1.2808385572458374,0.984237500473688,1.3413056540095138,1.3381233986492267,1.4052779528081796,1.3603905059629495,1.298990769496539,1.3104489542725093,1.3461038425003502,1.240055901480708,1.3059375344940587,1.046878694494067,1.271608886263336,1.279015755692463,1.2760556809191326,1.4066324655827085,1.3582149130206702,1.3745545772235195,1.3139650661219657,1.1393518624948507,1.326460023643163,1.350118528367169,1.3799316613706747,1.3512477588490435,1.3541649490146528,1.300411458991707,1.2980149505536982,1.3406816332058284,1.328915046136794,1.2479342908778193,1.251443284960774,1.317948855359226,1.243561678462974,1.1357591775655695,1.128563451611171,1.2389937565383005,1.2949681244424265,1.1314909053588036,1.3395698918137964,0.410836635368093,0.8783223243638052,1.2481614254395637,1.3788220086832137,1.2508867709745768,1.4081033766462652,1.3716719840527252,1.1510557399634056,1.2502390850235108,1.147183046334284,1.3354388855438828,1.3265035251779473,1.2938647815393205,1.334215682056084,1.0728737546679694,1.3589031116175028,1.2157175618015708,1.0086080683340868,1.3019473614613788,1.178043828592074,1.2992652258363222,1.339898523412978,1.0977949639924451,1.1172433531989043,1.2752247581621439,1.3981006413510977,1.3831761197271846,1.2477728659988558,1.2806548779881044,1.3977328169801502,1.2869495274195808
R2,0.06897297224253607,0.0955065511314529,0.054995338580778874,0.09709755141853771,0.2289770290845522,0.1763587647268664,0.14949217815839466,0.04670860618879635,0.07613616632982323,0.11085801446002919,0.07847070860077365,0.18614126925706853,0.08107616482343438,0.1697187962775626,0.2889219180547399,0.07071352929125385,0.06729040255761987,0.29304804648166727,0.11985593868360522,0.04827516092022299,0.17638975135055912,0.11512060815306435,0.1290294471159511,0.05189183473128345,0.16204000935512253,0.22363468362463879,0.09269797575795813,0.14746964937336815,0.16581417990792524,0.21762082624524715,0.30875413989857614,0.13010986260144375,0.18137465959140608,0.17310519593769935,0.15690002105743273,0.07936979435371838,0.1014502323620664,0.11143235226515691,0.09697081251714079,0.27281849548519976,0.06595729218138058,0.4204089518315881,0.38951976925394727,0.16950999644844944,0.11719462472091513,0.18779476868031042,0.14548480360896499,0.106716527204884,0.11214866619118424,0.13886677442999695,0.12178666935412163,0.20201834487586,0.2908613980885324,0.09189925930422127,0.0842848632643114,0.5111339138991471,0.10984720689473726,0.15869339118301018,0.08115568357461533,0.10880015648718377,0.10569784185202447,0.17766856444101975,0.15196078416240122,0.13665630264441553,0.20860695387858508,0.4832783102613224,0.22932772057362316,0.13780140429723153,0.07013193868770728,0.07508853111366043,0.1272720934589081,0.03120530599277538,0.06570936879445355,0.08265810188544065,0.11596716643561922,0.1460007538974244,0.05437692915790626,0.08406303923203384,0.10688367603476434,0.2121828575446696,0.11901952281105721,0.05191348607627966,0.18738981101710606,0.2900552887999126,0.2264616059785739,0.1500858837101261,0.1718770611926571,0.17274669541827803,0.20725263593644372,0.24566735166103915,0.22807987844473965,0.12579737077798958,0.12861783758818035,0.36761503014756824,0.40538762944183704,0.10527764875398615,0.07789907305531507,0.20114863253144366,0.060863958908565996,0.11812407008313164,0.18865807293046977,0.25668629070484883,0.1377817591542445,0.1677374202362999,0.09903139859859034,0.19441344393532622,0.19725203044023254,0.3558407897477893,0.16181034438523723,0.27058073185408293,0.2930428029485558,0.16248292771287087,0.0943398962728329,0.11074140185904457,0.1856365824472027,0.39444773713800796,0.2022463190721282,0.17793435114534872,0.09621279079239786,0.0885308981354257,0.207785864404062,0.22675354085688448,0.06408149343247316,0.22630130003005866
RMSE,0.724896050194311,0.3449682239594326,0.698180194137357,0.6978394385270109,0.9498878517048449,0.9766566801477121,0.7182275467048608,0.8922864502541957,0.5529840826858011,0.774078007760657,0.9600337764081286,0.7495716695096352,0.7038126710560706,0.5490235402790528,0.746742124742673,0.6408588089460469,0.7690437808703037,1.0564402733789524,1.1899148952857417,1.045534905562218,0.55417661040233,0.7517398032080054,0.8848011607762156,0.9200855765449952,0.631889161878704,0.7040669191445704,0.8297152800226602,0.7384761372481046,0.7667706463296334,0.6231004194608499,0.6239347509046963,1.3048010847401383,0.8155877316788559,1.15547326511462,1.0716266081584014,0.7110129310443122,0.9986578842798383,0.7044033560065949,0.5340073512896387,0.5757201581557496,0.7201734849976081,0.3887342462085427,0.7072748822517078,0.649147446491984,1.2275890530102982,0.5092034552853332,0.7885870602163373,0.8357216891073272,0.8433718192523777,0.748685584824839,0.679278531585893,1.158820446631929,0.7392948416186667,1.0924738876169697,0.7281125170306291,0.6727243332178647,0.8098598679260662,0.5334497267127366,0.8176583837313413,1.1217987726396854,0.6136213923559048,0.619407204063275,0.6250807834744055,0.5965430426481534,0.48527824599711894,0.36140158451511195,0.4901592653145575,1.1111829047875756,0.6825980393190502,1.267963847562814,1.3037392014017852,0.8598961172394441,1.0678156512836,0.6046876172734245,0.6765638792624245,0.6292336429953763,0.7979797626029661,1.4770902295737451,0.73765072764666,0.7933952575634116,1.0603101904759842,0.9890275690020699,0.9034523592541074,0.6807869453559016,0.6741012659901312,0.622176556718525,1.0002291746673966,0.6018233033574247,0.8101881163075859,0.7237468916443565,0.7420747260697997,1.0296237476428858,1.0350367881263547,0.9966769634322704,0.5085582878189558,1.0666403058124927,0.5374882064282032,0.8970925265310692,0.9441660495276212,0.8165571336608796,0.7421452232679983,0.6739706215892066,1.1041199198060074,0.6443145959256615,0.9525592768629675,0.9280009853506211,0.7526664455783973,0.712985537847324,0.8528022138403965,0.7777828940836188,0.7433372154881009,0.34049831343285686,0.7561453329768616,0.8297485474443871,0.8726556398459748,0.48812670214341336,0.875850039472998,0.8337267537525433,1.0333247060527948,0.70419796259365,0.6987778164818276,0.8267815258471477,0.7803306080475139,0.48715750663459345
Rho,0.19135708456917705,0.25772344031435834,0.21124383156688561,0.2541993240654784,0.3844683751502429,0.3425936097650894,0.3569353431078837,0.16102436134981796,0.25208373058269606,0.27753456065151444,0.27074923370792003,0.4264480924326194,0.26884347391143565,0.3677940836381944,0.43885543180828707,0.2481806096869312,0.2126053718585226,0.41245300381878586,0.31638209627743596,0.17896539934136307,0.3623628955689217,0.288806849114665,0.2983684486947971,0.187349820213016,0.3717588997040035,0.4244867869521958,0.237371976451382,0.30532112378713633,0.3849884874677046,0.42230079487359523,0.4591575996279261,0.3209733086127372,0.3720305186993927,0.3955465682716134,0.3048517597532159,0.2044542280262768,0.2644852009048498,0.25193207664360373,0.2502033762231958,0.4770655241237165,0.23451474541189404,0.5190638000343546,0.5751805248525654,0.4000942193431789,0.36406943805577163,0.3537684679337287,0.3554450441951285,0.29184333314940364,0.2712162841729638,0.26603386985835453,0.2580015092593431,0.44716065331844834,0.5637261054369387,0.3053862342255222,0.2241999474770062,0.6986283536220735,0.29378111233852294,0.3350264567883801,0.25768131533299377,0.19291181286973966,0.2449539122318226,0.37103661551925105,0.29321808381917186,0.3246514224159352,0.3783159445029847,0.5157417655137183,0.3475964670977909,0.32231711154298653,0.2050421549535386,0.22369389349029623,0.32712280473323846,0.14893765899939007,0.25094137840736047,0.3509442761135968,0.33542692454393463,0.3337603737476669,0.2366357607761212,0.27722671577462354,0.2520049791018426,0.42938035569796196,0.26084482531605546,0.18907501428177229,0.39621415401258314,0.5070803445355991,0.4788894677117446,0.3787509655599439,0.3345630419315711,0.3114053692529561,0.524671961099517,0.42166234000268527,0.4334948125974772,0.2849550774294223,0.3265323839590057,0.5909771224471382,0.5734597203653676,0.2585004288852766,0.2462990572323294,0.36662730378108316,0.19312422052660602,0.2970199685495461,0.37688172209300186,0.4545289795880607,0.34646312882716945,0.36011933468554613,0.22315168043598796,0.3993495806747352,0.3645660941900768,0.481690989296932,0.3371788270023966,0.41540049056764583,0.4763142652430326,0.39085514728917214,0.22633324827482718,0.3292807134909293,0.42005368852103203,0.5244554170619318,0.4311915996957927,0.4132416503731345,0.266595071560747,0.26424243641999584,0.34084499237412336,0.39985329770106653,0.22921309067653162,0.46530299243915796
Rho_p,2.1493384694113738e-08,2.9495166421436096e-14,5.855126198230988e-10,6.731185491105098e-14,4.374521270671876e-31,1.2609566722808063e-24,9.898393546444026e-27,2.614189926594681e-06,1.0979766917083964e-13,2.2511829615350043e-16,1.2515953184274197e-15,1.418168945817641e-38,2.0089849019533183e-15,2.1296627939940665e-28,5.334723400998718e-41,2.6761970042168157e-13,4.5137098617424694e-10,5.862028971010121e-36,4.719003491779195e-21,1.6883315106139375e-07,1.4799304755994712e-27,1.1696971393131307e-17,8.555773888080931e-19,4.2502650447139185e-08,5.05165449749073e-29,3.356267816319326e-38,2.9149273449138337e-12,1.1999000714405778e-19,3.58566488867605e-31,8.708615882404172e-38,3.4416124871367093e-45,1.1828570363491191e-21,4.574099266150171e-29,5.8553140699749264e-33,1.3723540745774287e-19,2.0880657491607687e-09,5.845679994281369e-15,1.136974909502311e-13,1.6897590998827184e-13,3.969926598457531e-49,5.375565367137808e-12,2.4734348878477004e-59,2.0698363130037282e-75,9.498134162872007e-34,8.080476092774994e-28,2.949829910977771e-26,1.6573060647603612e-26,5.1526123985772365e-18,1.1139060197035697e-15,4.008496714710728e-15,2.7621256980761687e-14,1.1144485173627893e-42,7.088744439346947e-72,1.1777317209986988e-19,4.583996876680927e-11,2.058484251593775e-124,3.03775723059249e-18,1.4725766453603967e-23,2.978972519818178e-14,1.6432430651038886e-08,5.525784372064689e-13,6.575354779514501e-29,3.54331282859029e-18,3.836845194906676e-22,4.474658109066377e-30,1.7920863510134238e-58,2.391635268138482e-25,7.853672886802718e-22,1.8735667370857643e-09,5.078808655583149e-11,1.7849861037734596e-22,1.4109625325877508e-05,1.4273282061981055e-13,7.730316356170035e-26,1.2951767182821332e-23,2.2069320175330417e-23,3.4154436295422805e-12,2.4359398911055307e-16,1.1180611537296236e-13,3.870523741656595e-39,1.4053621444310254e-14,3.174798827678517e-08,4.4911917376448225e-33,2.828682652092944e-56,1.5290941136817455e-49,3.802463643927806e-30,1.707997270882308e-23,2.0583195710992917e-20,8.309978931726863e-61,1.1489950644672998e-37,6.124032796587657e-40,3.26238569392297e-17,2.1444235803612342e-22,1.6085622275331322e-80,7.175595612397029e-75,2.454760133040189e-14,4.089556244446566e-13,3.240016465106527e-28,1.5837865702670034e-08,1.2446719656366996e-18,7.639694813576047e-30,3.289633533988631e-44,3.494662988505133e-25,3.2608748343980784e-27,5.666849711985597e-11,1.2818062868994974e-33,6.771019348709484e-28,3.492338701718204e-50,7.370228983041724e-24,1.6875229892536088e-36,5.871122881179286e-49,3.7121765559011454e-32,2.967571044284434e-11,9.097809402405298e-23,2.303855384964616e-37,9.48453399391837e-61,1.7243879222126475e-39,4.2060731856754115e-36,3.4941386403269508e-15,6.2004486227275665e-15,2.238612757753117e-24,1.0466332684056793e-33,1.638501197125332e-11,1.627907699497096e-46
SMSE,0.9310270277574638,0.9044934488685471,0.9450046614192211,0.9029024485814622,0.7710229709154479,0.8236412352731336,0.8505078218416052,0.9532913938112035,0.9238638336701768,0.8891419855399707,0.9215292913992265,0.8138587307429315,0.9189238351765656,0.8302812037224374,0.71107808194526,0.9292864707087461,0.93270959744238,0.7069519535183328,0.8801440613163947,0.951724839079777,0.8236102486494409,0.8848793918469356,0.8709705528840489,0.9481081652687164,0.8379599906448775,0.7763653163753612,0.9073020242420418,0.8525303506266317,0.8341858200920748,0.7823791737547529,0.6912458601014239,0.8698901373985561,0.8186253404085939,0.8268948040623008,0.8430999789425673,0.9206302056462816,0.8985497676379336,0.8885676477348431,0.9030291874828591,0.7271815045148003,0.9340427078186194,0.5795910481684119,0.6104802307460526,0.8304900035515507,0.8828053752790849,0.8122052313196896,0.854515196391035,0.893283472795116,0.8878513338088156,0.8611332255700029,0.8782133306458784,0.79798165512414,0.7091386019114676,0.9081007406957787,0.9157151367356886,0.4888660861008529,0.8901527931052629,0.84130660881699,0.9188443164253847,0.8911998435128162,0.8943021581479755,0.8223314355589801,0.8480392158375988,0.8633436973555845,0.7913930461214148,0.5167216897386775,0.7706722794263768,0.8621985957027685,0.9298680613122927,0.9249114688863395,0.872727906541092,0.9687946940072246,0.9342906312055463,0.9173418981145594,0.8840328335643808,0.8539992461025757,0.9456230708420937,0.9159369607679662,0.8931163239652359,0.7878171424553304,0.8809804771889428,0.9480865139237202,0.8126101889828939,0.7099447112000874,0.773538394021426,0.849914116289874,0.828122938807343,0.827253304581722,0.7927473640635564,0.754332648338961,0.7719201215552604,0.8742026292220103,0.8713821624118196,0.6323849698524318,0.5946123705581631,0.8947223512460138,0.9221009269446848,0.7988513674685563,0.9391360410914341,0.8818759299168684,0.8113419270695301,0.7433137092951512,0.8622182408457555,0.8322625797637001,0.9009686014014098,0.8055865560646737,0.8027479695597676,0.6441592102522107,0.8381896556147628,0.7294192681459171,0.7069571970514441,0.837517072287129,0.9056601037271671,0.8892585981409555,0.8143634175527973,0.605552262861992,0.7977536809278718,0.8220656488546514,0.9037872092076021,0.9114691018645742,0.7922141355959379,0.7732464591431155,0.935918506567527,0.7736986999699413
ShapiroW,0.9934809086594334,0.9882596877484402,0.9962300366415618,0.9916321764728349,0.983484734143334,0.9958089089452723,0.9885883029868978,0.9923134400840444,0.9924129600579793,0.9965385898971092,0.9885404023842344,0.9946013210152079,0.9933586657013941,0.9961207872334752,0.9984369163893002,0.9964439633501387,0.997442712255586,0.9974013390177879,0.9923849245135619,0.9937419581401977,0.9979085059059581,0.9911655805075235,0.9849600860866354,0.9869905718021168,0.9960911220921373,0.99674450862873,0.9921218587943699,0.9955208525590442,0.9969659440132714,0.991186416402954,0.9943845405058815,0.9966535245853663,0.9960853210864405,0.9851078039277396,0.9895368335052066,0.9860932236692905,0.9883062443486335,0.9928564278749795,0.996832627425113,0.9973808377998209,0.9936261660395707,0.9977908065659657,0.9980214828323641,0.9919471923184136,0.9967705120816172,0.9973703880079027,0.9946113338161822,0.9946344020286508,0.9888531576478927,0.9969724913943135,0.9912856297359872,0.9940941079343187,0.9963644823985172,0.9963991530612157,0.9973593526504424,0.988451336980189,0.996493490508264,0.9920146336766261,0.9921265142401788,0.9919948452962545,0.9918877525350263,0.9917596296617236,0.9974570271464683,0.9861730229689908,0.9929541818042238,0.9952368829949818,0.9888436657449983,0.996728903208586,0.9897903840213271,0.9925587895655716,0.9928199510939189,0.9979161396453237,0.9968303938631126,0.9944653220033095,0.9968364333169736,0.992269170357486,0.9951262872232036,0.9947670714275768,0.9978949038756986,0.9976653046489287,0.995962966088114,0.9935814427953377,0.9965808877054828,0.9936414015229251,0.9930898763165396,0.9923028111333366,0.9935286645005303,0.9910014759238748,0.9670916343785445,0.9951129647624268,0.9925879631550123,0.9951197378041131,0.9906973732147308,0.9915879512475361,0.9939891252175034,0.9957326490475739,0.9910664327350429,0.9840845128075294,0.9874329995142849,0.9934046988762465,0.9967212482972071,0.9952524181388082,0.9955128851195025,0.9906595197826195,0.9882475811216314,0.9944310332624827,0.9928684740273728,0.9914222676920413,0.9922702408414574,0.9936964871382333,0.9902806468815897,0.9973214104451055,0.9849642053340392,0.995899159188264,0.9887758363356417,0.9819549112784471,0.9898372047813575,0.9925617951306566,0.9844743112187836,0.9932341310170922,0.9963879510276257,0.9951657663145915,0.9927428070503903,0.9923209972777424
